"EAName","HasMQ4","HasEX4","Rationale"
"DF_HIGHTOWER_V10_FULL","True","True","Versioned DF trend family; good for robustness comparisons"
"DF_HIGHTOWER_ADAPTIVE_V7","True","True","Versioned DF trend family; good for robustness comparisons"
"DFHIGHTOWERV6","True","True","High-priority candidate"
"DF KNOT +AUTOFLIP","True","True","Has auto-flip logic; useful for regime-change stress tests"
"DF LADDER RV","True","True","Mean-reversion ladder variant; diversify away from trend-only logic"
"DF SAUCE FINAL","True","True","Mature labeled build for stability testing"
"KINGDOM MANNER - ULTIMATE PACKAGE","True","True","Packaged production variant; practical deployment candidate"
"Kingdom Manner + Scale + Margin Close","True","False","Includes scaling and margin-close protection logic"
"CC V2.5.2.1","True","True","Latest CC branch in your set; prioritize newest revision"
"CULTURE COIN V.1","True","True","Core Culture Coin baseline for branch comparison"
"GOLDSETUP","True","True","Explicit gold-focused EA for XAUUSD testing"
"SORO + IMB SCALER","True","True","Scaler variant; useful for risk-vs-growth profiling"
